subject,count
Kishiwada Bōseki Kabushiki Kaisha Strike (Japan : 1930),449
"Kliszow, Battle of (Kliszów, Poland : 1702)",450
"Kodziowce, Battle of (Kodzeŭtsy, Belarus : 1939)",451
Kohler Company Strike (Wisconsin : 1954-1960),452
Kolwezi Massacre (Congo : 1978),453
"Königgrätz, Battle of (Sadová, Czech Republic : 1866)",454
"Königsberg, Battle of (Kaliningrad, Kaliningradskai︠a︡ oblastʹ, Russia : 1945)",455
"Konotop, Battle of (Sumsʹka oblastʹ, Ukraine : 1659)",456
Korean resistance movements (1905-1945),457
Korean reunification question (1945- ),458
Korean War (1950-1953),459
"Korička jama Massacre (Korita, Bileća, Bosnia and Hercegovina : 1941)",460
Kosovo War (Serbia : 1998-1999),461
"Kosovo, Battle of (Kosovo : 1389)",462
"Kosovo, Battle of (Kosovo : 1448)",463
"Kosovo, Battle of (Serbia : 1389)",464
"Kosovo, Battle of (Serbia : 1389) in literature",465
"Kosovo, Battle of (Serbia : 1448)",466
Kotor Mutiny (Montenegro : 1918),467
Krasnodar Trial (Russia : 1943),468
Kristallnacht (1938),469
"Kunersdorf, Battle of (Kunowice, Poland : 1759)",470
Kwangju Piennalle,471
"La Palma, Battle of (Pinar del Río, Cuba : 1896)",472
"La Trinidad, Battle of (Honduras : 1827)",473
"Lagarde, Battle of (Lorraine, France : 1940)",474
"Langemarck, Battle of (Langemark, Belgium : 1914)",475
"Las Carreras, Battle of (Dominican Republic : 1849)",476
"Las Piedras, Battle of (Canelones, Uruguay : 1811)",477
Lausanne Disputation (Switzerland : 1536),478
"Le Hamel, Battle of (Amiens, France : 1918)",479
Leipzig Disputation (Germany : 1519),480
Leipzig Trials (Germany : 1921),481
"Lemberg, Battle of (Lʹviv, Ukraine : 1914)",482
"Lenino, Battle of (Mahili︠o︡ŭskai︠a︡ voblastsʹ, Belarus : 1943)",483
"Leuthen, Battle of (Lutynia, Poland : 1757)",484
"Lexington, Battle of (Missouri : 1861)",485
"Liegnitz, Battle of (Legnickie Pole, Poland : 1241)",486
Lincoln-Douglas Debates (Illinois : 1858),487
"Little Bighorn, Battle of the (Montana : 1876)",488
Little Rock Expedition (Arkansas : 1863),489
Livonian War (1557-1582),490
London Triathlon,491
"Long Island, Battle of (New York, New York : 1776)",492
"Loos, Battle of (Loos-en-Gohelle, France : 1915)",493
Loray Mill Strike (1929),494
Lord Dunmore's War (1774),495
"Lutsk, Battle of (Lut︠s︡ʹk, Ukraine : 1916)",496
"Macedonian War, 3rd (171-168 B.C.)",497
"Maciejowice, Battle of (Garwolin, Poland : 1794)",498
"Magdala, Battle of (Āmba Maryam, Ethiopia : 1868)",499
"Magnesia, Battle of (Manisa, Turkey : 190 B.C.)",500
Managua Earthquake (Nicaragua : 1972),501
"Mansurah, Battle of (Manṣūrah, Egypt : 1250)",502
"Marasesti, Battle of (Vrancea, Romania : 1917)",503
"Marasti, Battle of (Vrancea, Romania : 1917)",504
Maratha War (1803),505
"March on Washington for Lesbian, Gay, and Bi Equal Rights and Liberation",506
"Marcha por la Vida, la Coca y la Soberanía Nacional (Bolivia : 1994)",507
"Marignano, Battle of (Melegnano, Italy : 1515)",508
Marinette Knitting Mills Strike (Wisconsin : 1951),509
Martinsville Seven Trial (Virginia : 1949),510
Maseru Massacre (Lesotho : 1982),511
Meerut Communist Conspiracy Trial (India : 1929-1933),512
"Melitopol, Battle of (Melitopolʹ, Ukraine : 1943)",513
"Message to Man International Documentary, Short, and Animated Film Festival",514
Metal-Workers' Strike (Germany : 1928-1929),515
Metal-workers' Strike (United States : 1935),516
Mexican War (1846-1848),517
Miners' Revolt (Spain : 1934),518
"Miraflores, Battle of (Lima, Peru : 1881)",519
Miss Black America Pageant of Hudson County (New Jersey),520
"Monastir, Battle of (Bitola, Macedonia : 1912)",521
"Monmouth, Battle of (Freehold, New Jersey : 1778)",522
Monmouth's Rebellion (1685),523
Monongah Mines Disaster (W. Virginia : 1907),524
"Mons, 1st Battle of (Belgium : 1914)",525
"Montdidier, Battle of (Picardy, France : 1918)",526
"Morat, Battle of (Murten, Switzerland : 1476)",527
Moscow Trial (Russia : 1945),528
Moscow Trials (Russia : 1936-1937),529
