subject,count
"Charles Felix, Reign of (Sardinia)",506
"Empire, Period as (Brazil)",507
"Charles X, Reign of (France)",508
"Nicholas I, Reign of (Russia)",509
"Miguel I, Reign of (Portugal)",510
"William IV, Reign of (Great Britain)",511
"Louis Philip, Reign of (France)",512
"Peter II, Reign of (Montenegro)",513
"Charles Albert, Reign of (Sardinia)",514
"Leopold I, Reign of (Belgium)",515
"Otho I, Reign of (Greece)",516
"Isabella II, Reign of (Spain)",517
"Maria II, Reign of (Portugal)",518
"Cabanagem, Reign of (Pará)",519
"Republic, Period as (Texas)",520
Schism Period (Presbyterian Church),521
"Victoria, Reign of (Great Britain)",522
"Christian VIII, Reign of (Denmark)",523
"Abdul Mejid, Reign of (Turkey)",524
"Tanzimat, Reign of (Turkey)",525
"William II, Reign of (Netherlands)",526
"Frederick William IV, Reign of (Prussia)",527
"Oscar I, Reign of (Sweden)",528
"Oscar I, Reign of (Norway)",529
"Second Republic, Period as (France)",530
"Frederick VII, Reign of (Denmark)",531
"Francis Joseph, Reign of (Austria)",532
"Francis Joseph, Reign of (Hungary)",533
"William III, Reign of (Netherlands)",534
"Xianfeng, Reign of (China)",535
"Danilo I, Reign of (Montenegro)",536
"Second Empire, Period as (France)",537
"Peter V, Reign of (Portugal)",538
Restoration Period (Japan),539
"Alexander II, Reign of (Russia)",540
"Charles IV, Reign of (Norway)",541
"Charles XV, Reign of (Sweden)",542
"Nicholas I, Reign of (Montenegro)",543
"Tongzhi, Reign of (China)",544
"Abdul Aziz, Reign of (Turkey)",545
"William I, Reign of (Prussia)",546
"Ismail, Reign of (Egypt)",547
"Christian IX, Reign of (Denmark)",548
"George I, Reign of (Greece)",549
"Leopold II, Reign of (Belgium)",550
"Charles I, Reign of (Romania)",551
"British Rule, Period under (Malaya)",552
Revolutionary Period (Spain),553
"Milan Obrenović, Reign of (Serbia)",554
Meiji Period (Japan),555
"Third Republic, Period as (France)",556
"William I, Reign of (Germany)",557
"Oscar II, Reign of (Norway)",558
"Oscar II, Reign of (Sweden)",559
"Republic, Period as (Spain)",560
"Alfonso XII, Reign of (Spain)",561
"Guangxu, Reign of (China)",562
"British Rule, Period under (Cyprus)",563
"Alexander, Reign of (Bulgaria)",564
"Tewfik, Reign of (Egypt)",565
"Alexander III, Reign of (Russia)",566
Interregnum Period (Bulgaria),567
"Alfonso XIII, Reign of (Spain)",568
"Ferdinand I, Reign of (Bulgaria)",569
"William II, Reign of (Germany)",570
"Charles I, Reign of (Portugal)",571
"Nicholas II, Reign of (Russia)",572
"Wilhelmina, Reign of (Netherlands)",573
"Edward VII, Reign of (Great Britain)",574
"Gustavus V, Reign of (Sweden)",575
"Manuel II, Reign of (Portugal)",576
"Xuantong, Reign of (China)",577
"Mehmed V, Reign of (Turkey)",578
"Albert I, Reign of (Belgium)",579
"George V, Reign of (Great Britain)",580
Taishō Period (Japan),581
"Christian X, Reign of (Denmark)",582
"Republic, Period as (China)",583
"Constantine I, Reign of (Greece)",584
World War I Period,585
Warlord Period (China),586
"Fuad, Reign of (Egypt)",587
"Mehmed VI, Reign of (Turkey)",588
"Boris III, Reign of (Bulgaria)",589
"Hashemite Kingdom, Period of (Iraq)",590
"Dictatorship, Period under (Spain)",591
Shōwa Period (Japan),592
"Lucius Septimius Severus, Reign of (Rome)",593
"Severans, Reign of (Rome)",594
"Republic, Period as (Spain)",595
Dust Bowl Era,596
Dustbowl Era,597
"Leopold III, Reign of (Belgium)",598
"George VI, Reign of (Great Britain)",599
World War II Period,600
"Mohammed Reza Pahlavi, Reign of (Iran)",601
Korean War Period,602
"Gustavus VI Adolphus, Reign of (Sweden)",603
"Baudouin I, Reign of (Belgium)",604
"Macrinus, Reign of (Rome)",605
"Elagabalus, Reign of (Rome)",606
Roman Period (Spain),607
"Severus Alexander, Reign of (Rome)",608
"Maximinus, Reign of (Rome)",609
"Military Anarchy, Period of (Rome)",610
"Gordianus III, Reign of (Rome)",611
"Decius, Reign of (Rome)",612
"Gallienus, Reign of (Rome)",613
"Republic, Period as (Rome)",614
"Claudius II, Reign of (Rome)",615
"Aurelian, Reign of (Rome)",616
"Probus, Reign of (Rome)",617
"Diocletian, Reign of (Rome)",618
"Empire, Period as (Rome)",619
Early Church Period,620
Primitive and Early Church Period,621
"Augustus, Reign of (Rome)",622
"Empire, Period as (Rome)",623
"Julio-Claudians, Reign of (Rome)",624
Five Hu and the Sixteen Kingdoms Period (China),625
"Constantine I, the Great, Reign of (Rome)",626
"Constantines, Reign of (Rome)",627
"Macedonian Hegemony, Period of (Greece)",628
Greco-Roman Period (Egypt),629
"Constantius II, Reign of (Rome)",630
"Julian, Reign of (Rome)",631
"Valentinian I, Reign of (Rome)",632
"Valens, Reign of (Byzantine Empire)",633
"Caligula, Reign of (Rome)",634
"Theodosius I, the Great, Reign of (Rome)",635
"Theodosians, Reign of (Rome)",636
"Arcadius, Reign of (Byzantine Empire)",637
"Honorius, Reign of (Rome)",638
"Spartan and Theban Supremacies, Period of (Greece)",639
"Thirty Tyrants, Reign of (Athens)",640
"Theodosius II, Reign of (Byzantine Empire)",641
"Claudius, Reign of (Rome)",642
Gothic Period (Spain),643
Medieval and Early Modern Period,644
"Valentinian III, Reign of (Rome)",645
Anglo-Saxon Period (Great Britain),646
"Old English Language, Period of",647
"Leo I, Reign of (Byzantine Empire)",648
"Zeno, Reign of (Byzantine Empire)",649
"Basiliscus, Reign of (Byzantine Empire)",650
"Romulus Augustulus, Reign of (Rome)",651
"Athenian supremacy, Period of (Greece)",652
"Anastasius I, Reign of (Byzantine Empire)",653
Medieval Period,654
Middle Ages,655
"Republic, Period as (Rome)",656
"Republic, Period as (Rome)",657
